RegionName,StateName,Date,Avg_Price
San Diego,CA,1996-04-30,189722
Tampa,FL,1996-04-30,92104
Sacramento,CA,1996-04-30,148769
Orlando,FL,1996-04-30,110842
San Jose,CA,1996-04-30,259201
Jacksonville,FL,1996-04-30,100437
Fresno,CA,1996-04-30,107990
Bakersfield,CA,1996-04-30,116282
Ventura,CA,1996-04-30,207496
North Port-Sarasota-Bradenton,FL,1996-04-30,120748
Stockton,CA,1996-04-30,115397
Fort Myers,FL,1996-04-30,119547
Lakeland,FL,1996-04-30,88656
Daytona Beach,FL,1996-04-30,92633
Melbourne,FL,1996-04-30,98121
Santa Rosa,CA,1996-04-30,213326
Pensacola,FL,1996-04-30,90361
Visalia,CA,1996-04-30,95279
Port St. Lucie,FL,1996-04-30,102934
Santa Maria-Santa Barbara,CA,1996-04-30,220667
Salinas,CA,1996-04-30,177786
Vallejo,CA,1996-04-30,136946
Tallahassee,FL,1996-04-30,91679
Naples,FL,1996-04-30,160952
San Luis Obispo,CA,1996-04-30,182625
Gainesville,FL,1996-04-30,93828
Santa Cruz,CA,1996-04-30,240036
Crestview-Fort Walton Beach-Destin,FL,1996-04-30,100803
Panama City,FL,1996-04-30,92145
Redding,CA,1996-04-30,88177
Punta Gorda,FL,1996-04-30,89600
Homosassa Springs,FL,1996-04-30,82999
Vero Beach,FL,1996-04-30,102627
Napa,CA,1996-04-30,175516
The Villages,FL,1996-04-30,105990
Lake City,FL,1996-04-30,46066
Okeechobee,FL,1996-04-30,69733
Clewiston,FL,1996-04-30,57363
Arcadia,FL,1996-04-30,56849
Wauchula,FL,1996-04-30,45470
Los Angeles-Long Beach-Anaheim,CA,1996-05-31,191622
Miami-Fort Lauderdale,FL,1996-05-31,125191
San Francisco,CA,1996-05-31,257407
Riverside,CA,1996-05-31,121988
San Diego,CA,1996-05-31,189554
Tampa,FL,1996-05-31,92258
Sacramento,CA,1996-05-31,148392
Orlando,FL,1996-05-31,111141
San Jose,CA,1996-05-31,259340
Jacksonville,FL,1996-05-31,100654
Fresno,CA,1996-05-31,108114
Bakersfield,CA,1996-05-31,115613
Ventura,CA,1996-05-31,206936
North Port-Sarasota-Bradenton,FL,1996-05-31,120958
Stockton,CA,1996-05-31,115078
Fort Myers,FL,1996-05-31,119462
Lakeland,FL,1996-05-31,88996
Daytona Beach,FL,1996-05-31,92816
Melbourne,FL,1996-05-31,98362
Santa Rosa,CA,1996-05-31,213305
Pensacola,FL,1996-05-31,91216
Visalia,CA,1996-05-31,95531
Port St. Lucie,FL,1996-05-31,102695
Santa Maria-Santa Barbara,CA,1996-05-31,220398
Salinas,CA,1996-05-31,177686
Vallejo,CA,1996-05-31,136293
Tallahassee,FL,1996-05-31,91869
Naples,FL,1996-05-31,161349
San Luis Obispo,CA,1996-05-31,182116
Gainesville,FL,1996-05-31,94066
Santa Cruz,CA,1996-05-31,239419
Crestview-Fort Walton Beach-Destin,FL,1996-05-31,101189
Panama City,FL,1996-05-31,92421
Redding,CA,1996-05-31,87985
Punta Gorda,FL,1996-05-31,89644
Homosassa Springs,FL,1996-05-31,83126
Vero Beach,FL,1996-05-31,102772
Napa,CA,1996-05-31,174761
The Villages,FL,1996-05-31,105861
Lake City,FL,1996-05-31,46177
Okeechobee,FL,1996-05-31,69789
Clewiston,FL,1996-05-31,58037
Arcadia,FL,1996-05-31,56822
Wauchula,FL,1996-05-31,45539
Los Angeles-Long Beach-Anaheim,CA,1996-06-30,191688
Miami-Fort Lauderdale,FL,1996-06-30,125577
San Francisco,CA,1996-06-30,257160
Riverside,CA,1996-06-30,121534
San Diego,CA,1996-06-30,189430
Tampa,FL,1996-06-30,92487
Sacramento,CA,1996-06-30,148028
Orlando,FL,1996-06-30,111401
San Jose,CA,1996-06-30,259677
Jacksonville,FL,1996-06-30,100898
Fresno,CA,1996-06-30,108503
Bakersfield,CA,1996-06-30,115256
Ventura,CA,1996-06-30,206511
North Port-Sarasota-Bradenton,FL,1996-06-30,121185
Stockton,CA,1996-06-30,114754
Fort Myers,FL,1996-06-30,119340
Lakeland,FL,1996-06-30,89329
Daytona Beach,FL,1996-06-30,92968
Melbourne,FL,1996-06-30,98521
Santa Rosa,CA,1996-06-30,213195
Pensacola,FL,1996-06-30,91741
Visalia,CA,1996-06-30,95687
Port St. Lucie,FL,1996-06-30,102529
Santa Maria-Santa Barbara,CA,1996-06-30,220143
Salinas,CA,1996-06-30,177735
Vallejo,CA,1996-06-30,135730
Tallahassee,FL,1996-06-30,92076
Naples,FL,1996-06-30,161699
San Luis Obispo,CA,1996-06-30,181904
Gainesville,FL,1996-06-30,94277
Santa Cruz,CA,1996-06-30,238839
Crestview-Fort Walton Beach-Destin,FL,1996-06-30,101642
Panama City,FL,1996-06-30,92727
Redding,CA,1996-06-30,87859
Punta Gorda,FL,1996-06-30,89536
Homosassa Springs,FL,1996-06-30,83130
Vero Beach,FL,1996-06-30,102748
Napa,CA,1996-06-30,174095
The Villages,FL,1996-06-30,105818
Lake City,FL,1996-06-30,46261
Okeechobee,FL,1996-06-30,69852
Clewiston,FL,1996-06-30,58132
Arcadia,FL,1996-06-30,56771
Wauchula,FL,1996-06-30,45615
Los Angeles-Long Beach-Anaheim,CA,1996-07-31,191837
Miami-Fort Lauderdale,FL,1996-07-31,125957
San Francisco,CA,1996-07-31,256887
Riverside,CA,1996-07-31,121148
San Diego,CA,1996-07-31,189287
Tampa,FL,1996-07-31,92653
Sacramento,CA,1996-07-31,147756
Orlando,FL,1996-07-31,111675
San Jose,CA,1996-07-31,259993
Jacksonville,FL,1996-07-31,101136
Fresno,CA,1996-07-31,108482
Bakersfield,CA,1996-07-31,115063
Ventura,CA,1996-07-31,206243
North Port-Sarasota-Bradenton,FL,1996-07-31,121461
Stockton,CA,1996-07-31,114438
Fort Myers,FL,1996-07-31,119395
Lakeland,FL,1996-07-31,89575
Daytona Beach,FL,1996-07-31,93111
Melbourne,FL,1996-07-31,98648
Santa Rosa,CA,1996-07-31,213212
Pensacola,FL,1996-07-31,92193
Visalia,CA,1996-07-31,95817
Port St. Lucie,FL,1996-07-31,102388
Santa Maria-Santa Barbara,CA,1996-07-31,219757
Salinas,CA,1996-07-31,178047
Vallejo,CA,1996-07-31,135278
Tallahassee,FL,1996-07-31,92256
Naples,FL,1996-07-31,162308
San Luis Obispo,CA,1996-07-31,182096
Gainesville,FL,1996-07-31,94533
Santa Cruz,CA,1996-07-31,238426
Crestview-Fort Walton Beach-Destin,FL,1996-07-31,102136
Panama City,FL,1996-07-31,93101
Redding,CA,1996-07-31,87652
Punta Gorda,FL,1996-07-31,89339
Homosassa Springs,FL,1996-07-31,82990
Vero Beach,FL,1996-07-31,102905
Napa,CA,1996-07-31,173535
The Villages,FL,1996-07-31,106015
Lake City,FL,1996-07-31,46228
Okeechobee,FL,1996-07-31,69932
Clewiston,FL,1996-07-31,57918
Arcadia,FL,1996-07-31,56658
