City,Date,No_of_bedrooms,AvgSale_Price
Los-Angeles,7/31/2007,1,405208
Los-Angeles,8/31/2007,1,400982
Los-Angeles,9/30/2007,1,395858
Los-Angeles,10/31/2007,1,390554
Los-Angeles,11/30/2007,1,386745
Los-Angeles,12/31/2007,1,382424
Los-Angeles,1/31/2008,1,377813
Los-Angeles,2/29/2008,1,371469
Los-Angeles,3/31/2008,1,364037
Los-Angeles,4/30/2008,1,355596
Los-Angeles,5/31/2008,1,346842
Los-Angeles,6/30/2008,1,340520
Los-Angeles,7/31/2008,1,335002
Los-Angeles,8/31/2008,1,329752
Los-Angeles,9/30/2008,1,324752
Los-Angeles,10/31/2008,1,318910
Los-Angeles,11/30/2008,1,312406
Los-Angeles,12/31/2008,1,303738
Los-Angeles,1/31/2009,1,298405
Los-Angeles,2/28/2009,1,294896
Los-Angeles,3/31/2009,1,292343
Los-Angeles,4/30/2009,1,288257
Los-Angeles,5/31/2009,1,284604
Los-Angeles,6/30/2009,1,280075
Los-Angeles,7/31/2009,1,276367
Los-Angeles,8/31/2009,1,274215
Los-Angeles,9/30/2009,1,273809
Los-Angeles,10/31/2009,1,273994
Los-Angeles,11/30/2009,1,274193
Los-Angeles,12/31/2009,1,275782
Los-Angeles,1/31/2010,1,274435
Los-Angeles,2/28/2010,1,271893
Los-Angeles,3/31/2010,1,269851
Los-Angeles,4/30/2010,1,270030
Los-Angeles,5/31/2010,1,271154
Los-Angeles,6/30/2010,1,269632
Los-Angeles,7/31/2010,1,267539
Los-Angeles,8/31/2010,1,264638
Los-Angeles,9/30/2010,1,261672
Los-Angeles,10/31/2010,1,258724
Los-Angeles,11/30/2010,1,254906
Los-Angeles,12/31/2010,1,252189
Los-Angeles,1/31/2011,1,250303
Los-Angeles,2/28/2011,1,249320
Los-Angeles,3/31/2011,1,247432
Los-Angeles,4/30/2011,1,245027
Los-Angeles,5/31/2011,1,241372
Los-Angeles,6/30/2011,1,240027
Los-Angeles,7/31/2011,1,238877
Los-Angeles,8/31/2011,1,237636
Los-Angeles,9/30/2011,1,235614
Los-Angeles,10/31/2011,1,233355
Los-Angeles,11/30/2011,1,232863
Los-Angeles,12/31/2011,1,231720
Los-Angeles,1/31/2012,1,230839
Los-Angeles,2/29/2012,1,229612
Los-Angeles,3/31/2012,1,228909
