indicator_id,region_id,date,value
ZSFH,99999,2009-10-31,218621.0
ZSFH,99999,2009-09-30,216191.0
ZSFH,99999,2009-08-31,214318.0
ZSFH,99999,2009-07-31,213677.0
ZSFH,99999,2009-06-30,216221.0
ZSFH,99999,2009-05-31,218194.0
ZSFH,99999,2009-04-30,219700.0
ZSFH,99999,2009-03-31,220467.0
ZSFH,99999,2009-02-28,220438.0
ZSFH,99999,2009-01-31,219994.0
ZSFH,99999,2008-12-31,219776.0
ZSFH,99999,2008-11-30,220347.0
ZSFH,99999,2008-10-31,220771.0
ZSFH,99999,2008-09-30,221228.0
ZSFH,99999,2008-08-31,221310.0
ZSFH,99999,2008-07-31,221684.0
ZSFH,99999,2008-06-30,220484.0
ZSFH,99999,2008-05-31,221028.0
ZSFH,99999,2008-04-30,221053.0
ZSFH,99999,2008-03-31,222485.0
ZSFH,99999,2008-02-29,222009.0
ZSFH,99999,2008-01-31,220783.0
ZSFH,99999,2007-12-31,219191.0
ZSFH,99999,2007-11-30,217548.0
ZSFH,99999,2007-10-31,216690.0
ZSFH,99999,2007-09-30,218624.0
ZSFH,99999,2007-08-31,220110.0
ZSFH,99999,2007-07-31,219686.0
ZSFH,99999,2007-06-30,217035.0
ZSFH,99999,2007-05-31,213196.0
ZSFH,99999,2007-04-30,210060.0
ZSFH,99999,2007-03-31,205268.0
ZSFH,99999,2007-02-28,202023.0
ZSFH,99999,2007-01-31,200260.0
ZSFH,99999,2006-12-31,198535.0
ZSFH,99999,2006-11-30,197924.0
ZSFH,99999,2006-10-31,196573.0
ZSFH,99999,2006-09-30,193744.0
ZSFH,99999,2006-08-31,189865.0
ZSFH,99999,2006-07-31,187126.0
ZSFH,99999,2006-06-30,187415.0
ZSFH,99999,2006-05-31,188323.0
ZSFH,99999,2006-04-30,188989.0
ZSFH,99999,2006-03-31,188116.0
ZSFH,99999,2006-02-28,186794.0
ZSFH,99999,2006-01-31,184637.0
ZSFH,99999,2005-12-31,183392.0
ZSFH,99999,2005-11-30,181214.0
ZSFH,99999,2005-10-31,179215.0
ZSFH,99999,2005-09-30,177270.0
ZSFH,99999,2005-08-31,176223.0
ZSFH,99999,2005-07-31,174991.0
ZSFH,99999,2005-06-30,172571.0
ZSFH,99999,2005-05-31,169868.0
ZSFH,99999,2005-04-30,167105.0
ZSFH,99999,2005-03-31,165721.0
ZSFH,99999,2005-02-28,164998.0
ZSFH,99999,2005-01-31,164988.0
ZSFH,99998,2020-10-31,287583.0
